Name,Type,ABV,Cost,Instances
Swift Portland Pippin,Apple Cider,6.8,6,20
Reverend Nat’s Tassajara Peach Book,Cider Oaked w/Peaches,8.5,5,12
Magnolia New Speedway Bitter,Special Bitter ,4,6,20
54° 40′ Mama Tried,Pre Prohibition Lager ,5,5,20
Georgetown L.A. Woman,Crystal Kölsch,5.2,5,20
Upright Wit,Witbier,5.3,6,20
Founders Sumatra Mountain Brown,Imperial Brown Ale w/ Sumatra Coffee ,9,6,12
Ruse Translator,IPA,6.6,6,20
Common Block Rogue Runner,IPA,6.7,5,20
Baerlic Lightweight,Imperial IPA,8.5,7,20
Gigantic Ginormous – MK1,Imperial IPA,8.8,7,20
Flat Tail/Bailey’s Taproom Hausbier: Solo Dolo,Session IPA ,5,5,20
Sunriver India Summer Ale,Pale Ale,6,6,20
ColdFire/Flat Tail Tribal Knowledge,Dry-Hopped Kettle Sour Ale w/ guava ,6,7,20
New Belgium Transatlantique Kriek,Lambic w/ Cherries,7,11,12
pFriem Lemon Saison,Saison w/ lemon zest,6.2,6,20
Crooked Stave Surette,Wild Saison – Barrel Aged (Oak),6.2,7,12
Mazama Belgian-Style Blonde,Belgian Blonde,7.7,5,20
Aslan FIFA,French Indian Farmhouse Ale,7,6,20
Common Block Brick & Mortar,Porter,5.8,5,20
Side A Copper & Gold,Strong Pale,7,6,20
Boneyard Femur,Barleywine,11,6,12
The Bruery/Funky Buddha ¡Guava Libre!,Imperial Cream Ale w/ vanilla & guava ,7.9,10,12
Little Beast Bes,Tart Wheat Ale w/ chamomile,6,5,12
Pabst Blue Ribbon,American Lager,4.7,2,12
Coors,Pale Lager,5,2,12
Ranier,North American Lager,4.7,2,12
Blue Moon Belgian White,Wit Wheat Beer,5.4,3,12
Bud Light,Pale Lager,4.2,2,12
,,,,
Pisco sour,Mixed Drink: Pisco,40,7,2
Sidecar,Mixed Drink: Cognac,40,7,2
Bramble,Mixed Drink: Gin,40,7,2
Bee's Knees ,Mixed Drink: Gin,40,7,2
French 75 ,Mixed Drink: Champagne,40,7,2
Well drink: Any,Mixed Drink,40,4,2
The Last Word,Mixed Drink: green Chartreuse,40,7,2
Negroni,"Mixed Drink: Gin, Vermouth, Campari",40,7,2
Salty dog,Mixed Drink: Gin,40,7,2
Dark 'N' Stormy,Mixed Drink: Rum,40,7,2
Juan Collins,Mixed Drink: Tequila,40,7,2
Long Island Iced Tea,"Mixed Drink: Gin, Tequila, Vodka, Rum, Triple sec",40,8,4
Moscow mule,Mixed Drink: Vodka,40,7,2
Four Horsemen,Mixed Drink: Whiskey,40,8,4
Old Fashioned,Mixed Drink: Whiskey,40,7,2
Sangria,Mixed Drink: Red Wine,10,6,5
